dt,uV
2182.99,-0.18300001
2182.9949,-0.177
2183.0,-0.17300001
2183.005,-0.172
2183.01,-0.17300001
2183.015,-0.17300001
2183.02,-0.171
2183.025,-0.16900001
2183.03,-0.165
2183.035,-0.16100001
2183.04,-0.155
2183.045,-0.15400001
2183.05,-0.158
2183.055,-0.163
2183.06,-0.163
2183.065,-0.158
2183.07,-0.15400001
2183.075,-0.156
2183.0798,-0.16000001
2183.085,-0.164
2183.0898,-0.164
2183.095,-0.163
2183.0999,-0.16100001
2183.105,-0.15900001
2183.1099,-0.158
2183.115,-0.15900001
2183.1199,-0.162
2183.125,-0.164
2183.13,-0.164
2183.135,-0.162
2183.14,-0.162
2183.145,-0.165
2183.15,-0.16700001
2183.155,-0.16700001
2183.16,-0.165
2183.165,-0.164
2183.17,-0.16600001
2183.175,-0.16800001
2183.18,-0.16700001
2183.185,-0.163
2183.19,-0.15900001
2183.195,-0.158
2183.2,-0.16100001
2183.2048,-0.16600001
2183.21,-0.16900001
2183.2148,-0.16700001
2183.22,-0.16100001
2183.2249,-0.158
2183.23,-0.16000001
2183.2349,-0.165
2183.24,-0.16700001
2183.2449,-0.165
2183.25,-0.16000001
2183.255,-0.156
2183.26,-0.15300001
2183.265,-0.15300001
2183.27,-0.156
2183.275,-0.15900001
2183.28,-0.15900001
2183.285,-0.155
2183.29,-0.15200001
2183.295,-0.15200001
2183.3,-0.156
2183.305,-0.157
2183.31,-0.155
2183.315,-0.15400001
2183.32,-0.157
2183.325,-0.16000001
2183.3298,-0.157
2183.335,-0.149
2183.3398,-0.14500001
2183.345,-0.15100001
2183.3499,-0.16000001
2183.355,-0.16700001
2183.3599,-0.16600001
2183.365,-0.16000001
2183.3699,-0.15200001
2183.375,-0.14400001
2183.38,-0.13800001
2183.385,-0.134
2183.39,-0.13000001
2183.395,-0.126
2183.4,-0.12100001
2183.405,-0.120000005
2183.41,-0.12100001
2183.415,-0.12200001
2183.42,-0.124000005
2183.425,-0.12900001
2183.43,-0.134
2183.435,-0.13000001
2183.44,-0.120000005
2183.445,-0.119
2183.45,-0.132
2183.4548,-0.13700001
2183.46,-0.105000004
2183.4648,-0.037
2183.47,0.046000004
2183.4749,0.134
2183.48,0.23300001
2183.4849,0.303
2183.49,0.24900001
2183.4949,0.007
2183.5,-0.34600002
2183.505,-0.62
2183.51,-0.67
2183.515,-0.526
2183.52,-0.33900002
2183.525,-0.22000001
2183.53,-0.17
2183.535,-0.135
2183.54,-0.097
2183.545,-0.076000005
2183.55,-0.080000006
2183.555,-0.08800001
2183.56,-0.080000006
2183.565,-0.066
2183.57,-0.062000003
2183.575,-0.068
2183.5798,-0.067
2183.585,-0.057000004
2183.5898,-0.047000002
2183.595,-0.042000003
2183.5999,-0.038000003
2183.605,-0.032
2183.6099,-0.025
2183.615,-0.024
2183.6199,-0.026
2183.625,-0.025
2183.63,-0.020000001
2183.635,-0.013
2183.64,-0.006
2183.645,0.001
2183.65,0.009000001
2183.655,0.016
2183.66,0.021000002
2183.665,0.027
2183.67,0.037
2183.675,0.048
2183.68,0.059000004
2183.685,0.065000005
2183.69,0.069000006
2183.695,0.075
2183.7,0.086
2183.7048,0.098000005
2183.71,0.109000005
2183.7148,0.12100001
2183.72,0.133
2183.7249,0.14400001
2183.73,0.15100001
2183.7349,0.15400001
2183.74,0.158
2183.7449,0.164
2183.75,0.16900001
2183.755,0.16800001
2183.76,0.163
2183.765,0.15900001
2183.77,0.157
2183.775,0.15400001
2183.78,0.142
2183.785,0.12200001
2183.79,0.09900001
2183.795,0.07700001
2183.8,0.057000004
2183.805,0.037
2183.81,0.017
2183.815,0.001
2183.82,-0.008
2183.825,-0.014
2183.8298,-0.023000002
2183.835,-0.032
2183.8398,-0.038000003
2183.845,-0.039
2183.8499,-0.038000003
2183.855,-0.041
2183.8599,-0.046000004
2183.865,-0.048
2183.8699,-0.045
2183.875,-0.042000003
2183.88,-0.041
2183.885,-0.042000003
2183.89,-0.040000003
2183.895,-0.035
2183.9,-0.031000001
2183.905,-0.032
2183.91,-0.033
2183.915,-0.031000001
2183.92,-0.025
2183.925,-0.023000002
2183.93,-0.025
2183.935,-0.027
2183.94,-0.027
2183.945,-0.025
2183.95,-0.023000002
2183.9548,-0.024
2183.96,-0.026
2183.9648,-0.026
2183.97,-0.025
2183.9749,-0.025
2183.98,-0.027
2183.9849,-0.031000001
2183.99,-0.037
2183.9949,-0.040000003
2184.0,-0.039
2184.005,-0.035
2184.01,-0.033
2184.015,-0.036000002
2184.02,-0.043
2184.025,-0.05
2184.03,-0.05
2184.035,-0.045
2184.04,-0.040000003
2184.045,-0.040000003
2184.05,-0.043
2184.055,-0.045
2184.06,-0.046000004
2184.065,-0.044000003
2184.07,-0.042000003
2184.075,-0.040000003
2184.0798,-0.041
2184.085,-0.043
2184.0898,-0.044000003
2184.095,-0.042000003
2184.0999,-0.039
2184.105,-0.037
2184.1099,-0.039
2184.115,-0.045
2184.1199,-0.05
2184.125,-0.048
2184.13,-0.042000003
2184.135,-0.037
2184.14,-0.035
2184.145,-0.038000003
2184.15,-0.040000003
2184.155,-0.040000003
2184.16,-0.038000003
2184.165,-0.036000002
2184.17,-0.038000003
2184.175,-0.042000003
2184.18,-0.046000004
2184.185,-0.048
2184.19,-0.048
2184.195,-0.049000002
2184.2,-0.051000003
2184.2048,-0.047000002
2184.21,-0.037
2184.2148,-0.027
2184.22,-0.021000002
2184.2249,-0.019000001
2184.23,-0.017
2184.2349,-0.016
2184.24,-0.019000001
2184.2449,-0.023000002
2184.25,-0.023000002
2184.255,-0.019000001
2184.26,-0.024
2184.265,-0.034
2184.27,-0.036000002
2184.275,-0.023000002
2184.28,-0.014
2184.285,-0.029000001
2184.29,-0.047000002
2184.295,-0.027
2184.3,0.045
2184.305,0.133
2184.31,0.20400001
2184.315,0.264
2184.32,0.314
2184.325,0.294
2184.3298,0.11800001
2184.335,-0.20300001
2184.3398,-0.51000005
2184.345,-0.628
2184.3499,-0.522
2184.355,-0.319
2184.3599,-0.162
2184.365,-0.089
2184.3699,-0.053000003
2184.375,-0.018000001
2184.38,0.0050000004
2184.385,0.0050000004
2184.39,-0.004
2184.395,0.002
2184.4,0.017
2184.405,0.024
2184.41,0.021000002
2184.415,0.020000001
2184.42,0.028
2184.425,0.036000002
2184.43,0.036000002
2184.435,0.032
2184.44,0.031000001
2184.445,0.036000002
2184.45,0.042000003
2184.4548,0.049000002
2184.46,0.058000002
2184.4648,0.066
2184.47,0.069000006
2184.4749,0.066
2184.48,0.067
2184.4849,0.074
2184.49,0.086
2184.4949,0.096
2184.5,0.102000006
2184.505,0.106000006
2184.51,0.113000005
2184.515,0.120000005
2184.52,0.127
2184.525,0.136
2184.53,0.14600001
2184.535,0.158
2184.54,0.16900001
2184.545,0.179
2184.55,0.18900001
2184.555,0.201
2184.56,0.21200001
2184.565,0.22000001
2184.57,0.22500001
2184.575,0.22900002
2184.5798,0.23300001
2184.585,0.23500001
2184.5898,0.23400001
2184.595,0.23200001
2184.5999,0.22800002
2184.605,0.224
2184.6099,0.21400002
2184.615,0.19600001
2184.6199,0.172
2184.625,0.14600001
2184.63,0.123
2184.635,0.102000006
2184.64,0.083000004
2184.645,0.065000005
2184.65,0.049000002
2184.655,0.034
2184.66,0.022000002
2184.665,0.013
2184.67,0.007
2184.675,0.002
2184.68,-0.002
2184.685,-0.006
2184.69,-0.011000001
2184.695,-0.014
2184.7,-0.015000001
2184.7048,-0.014
2184.71,-0.012
2184.7148,-0.011000001
2184.72,-0.010000001
2184.7249,-0.009000001
2184.73,-0.008
2184.7349,-0.006
2184.74,-0.004
2184.7449,-0.003
2184.75,-0.002
2184.755,0.0
2184.76,0.003
2184.765,0.003
2184.77,-0.001
2184.775,-0.007
2184.78,-0.011000001
2184.785,-0.010000001
2184.79,-0.006
2184.795,-0.006
2184.8,-0.010000001
2184.805,-0.014
2184.81,-0.014
2184.815,-0.010000001
